fusion,lambda,num_cases,mean_nll,mean_gradient,median_gradient,fraction_positive_gradient,mean_entropy,mean_max_probability,mean_logit_std
current,0.0,20,1.7308394074440003,0.9740951765328646,1.065136969089508,0.75,1.2871569335460662,0.6784013628959655,2.401318907737732
current,0.001,20,1.731818723678589,0.9845039755105972,1.081064522266388,0.75,1.284822589159012,0.6787704735994339,2.403108596801758
current,0.01,20,1.7410495400428772,1.0624110573902725,1.2010480165481567,0.75,1.2642994582653047,0.6820569306612014,2.4192487359046937
current,0.1,20,1.8530209243297577,1.3598250240087508,1.6319534182548523,1.0,1.0982280939817428,0.7099482268095016,2.5837059736251833
current,0.25,20,2.073565822839737,1.5596584513783456,1.9043890237808228,1.0,0.9112850189208984,0.7456288188695908,2.8684302806854247
current,0.5,20,2.4879910707473756,1.7362229347229003,2.1295086145401,1.0,0.7129487723112107,0.789531746506691,3.3649256229400635
current,1.0,20,3.4021992802619936,1.896085450053215,2.3206019401550293,1.0,0.4954868569970131,0.8425462573766709,4.407189083099365
current,2.0,20,5.364438843727112,2.005769729614258,2.442154049873352,1.0,0.3084751456975937,0.8946250885725021,6.577785491943359
normalized,0.0,20,1.7308394074440003,0.530412782728672,0.7852808833122253,0.7,1.2871569335460662,0.6784013628959655,2.401318907737732
normalized,0.001,20,1.7313732624053955,0.5373918145895005,0.7970288097858429,0.7,1.2871312022209167,0.678417620062828,2.4007077693939207
normalized,0.01,20,1.7364406526088714,0.5844239622354508,0.8770074248313904,0.7,1.286947250366211,0.6785750240087509,2.3952957153320313
normalized,0.1,20,1.7929734408855438,0.6208380199968815,0.9196841716766357,0.7,1.2917270720005036,0.6784535825252533,2.3488235473632812
normalized,0.25,20,1.8789626598358153,0.5253966391086579,0.7603215277194977,0.7,1.309857815504074,0.6764209300279618,2.294744277000427
normalized,0.5,20,1.9932284235954285,0.3966759156435728,0.5627652108669281,0.7,1.3422753274440766,0.6730339795351028,2.243283760547638
normalized,1.0,20,2.1494677305221557,0.2458479505032301,0.3409498780965805,0.7,1.3964661240577698,0.6662439614534378,2.2035945415496827
normalized,2.0,20,2.3215928733348847,0.12050649765878915,0.16076773405075073,0.8,1.4686514616012574,0.6569976955652237,2.1925951480865478
